"","","","","Projection","","","","","Draft","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","YDS","TD","TGT","REC","YDS","TD"
"18","Bucky Irving","RB","TB","10","207.1","14.5","14.28","6","18","41.3","218","908","6.4","42","35","321","1.9"
"19","Jeremiyah Love","RB","ARZ","14","205.6","14","14.69","6","13","26.9","196","890","6.7","49","40","288","1.6"
"20","Quinshon Judkins","RB","CLV","11","204.3","15","13.62","6","23","54.9","268","997","7.4","38","30","239","1.1"
"21","D'Andre Swift","RB","CHI","10","202.9","15","13.53","6","24","55.8","206","956","7.0","40","32","261","1.4"
"22","Bhayshul Tuten","RB","JAX","7","201.6","15","13.44","6","25","62.6","236","986","8.2","34","27","203","1.3"
"23","Rhamondre Stevenson","RB","NE","11","201.1","15","13.40","6","30","81.8","183","792","6.5","46","39","333","2.1"
"24","Travis Etienne","RB","NO","8","199.8","15","13.32","6","20","44.1","204","879","6.5","44","37","276","1.5"
"25","Jaylen Warren","RB","PIT","9","184.4","15","12.29","7","27","72.0","169","768","5.1","46","40","288","1.5"
"26","Tony Pollard","RB","TEN","9","180.2","15","12.02","7","31","84.8","203","889","5.6","43","35","186","0.8"
"27","Cam Skattebo","RB","NYG","8","178.8","15","11.92","7","19","43.8","195","814","7.0","35","29","204","1.2"
"28","TreVeyon Henderson","RB","NE","11","172.6","15","11.51","7","22","53.8","173","786","5.9","34","29","232","1.1"
"29","Rico Dowdle","RB","PIT","9","172.3","15","11.48","7","32","85.3","180","801","5.3","39","32","218","1.1"
"30","Kenny Gainwell","RB","TB","10","168.1","15","11.20","8","37","111.6","138","589","4.1","52","43","319","1.9"
"31","Aaron Jones","RB","MIN","6","167.0","14","11.93","8","40","124.9","163","676","3.3","51","42","286","1.6"
"32","Chuba Hubbard","RB","CAR","5","166.9","14","11.92","8","28","77.8","200","767","5.9","36","30","187","1.1"
"33","Jadarian Price","RB","SEA","11","163.9","15","10.93","8","26","67.7","211","939","6.6","21","18","118","0.5"
"34","RJ Harvey","RB","DEN","10","149.7","15","9.98","9","29","79.9","124","485","3.6","54","45","260","1.6"
"35","Jonathon Brooks","RB","CAR","5","141.4","15","9.43","9","36","108.1","162","688","4.8","30","25","149","0.9"
"36","Blake Corum","RB","LA","11","140.6","15","9.38","9","35","103.8","165","760","6.3","17","14","100","0.6"
"37","Kyle Monangai","RB","CHI","10","140.0","15","9.33","9","34","99.4","155","668","4.9","27","21","184","0.9"
"38","Rachaad White","RB","WAS","7","137.7","15","9.18","9","41","131.7","130","526","4.1","36","32","221","1.2"
"39","Tyjae Spears","RB","TEN","9","126.8","14","9.06","10","49","166.0","120","508","2.8","39","33","206","0.9"
"40","Isiah Pacheco","RB","DET","6","122.6","14","8.75","10","54","185.0","133","583","5.4","21","18","107","0.7"
"41","Keaton Mitchell","RB","LAC","7","115.3","14","8.23","10","53","180.4","103","467","2.7","34","27","205","0.9"
"42","Dylan Sampson","RB","CLV","11","114.2","15","7.61","10","55","188.3","74","260","1.7","50","42","291","1.4"
"43","J.K. Dobbins","RB","DEN","10","113.1","12","9.42","10","33","94.6","144","673","4.9","13","10","46","0.3"
"44","Justice Hill","RB","BLT","13","112.6","15","7.51","10","177","999.0","74","350","2.3","39","32","242","1.4"
"45","Jacory Croskey-Merritt","RB","WAS","7","110.7","15","7.38","11","38","115.7","158","668","3.7","14","11","83","0.6"
"46","Ty Johnson","RB","BUF","7","104.9","15","6.99","11","176","999.0","58","253","2.1","35","28","283","1.9"
