name,position,nfl_team,games,pass_yards,pass_td,pass_int,pass_two_pt,rush_yards,rush_td,rush_two_pt,receptions,rec_yards,rec_td,rec_two_pt,fumbles_lost,off_fumble_rec_td,fumble_rec_two_pt,fg_made,xp_made,xp_missed,kick_return_td,punt_return_td,def_sacks,def_int,def_fumble_rec,def_td,def_blocked_fg,def_blocked_punt,def_blocked_xp,def_safeties,points_allowed_per_game,yards_allowed_per_game
Jacory Croskey-Merritt,RB,WAS,15.0,,,,,668.0,3.7,,11.0,83.0,0.6,,,,,,,,,,,,,,,,,,,
Ty Johnson,RB,BUF,15.0,,,,,253.0,2.1,,28.0,283.0,1.9,,,,,,,,,,,,,,,,,,,
Samaje Perine,RB,CIN,15.0,,,,,404.0,2.7,,20.0,145.0,0.7,,,,,,,,,,,,,,,,,,,
Woody Marks,RB,HST,15.0,,,,,321.0,2.0,,23.0,174.0,1.2,,,,,,,,,,,,,,,,,,,
Brian Robinson,RB,ATL,15.0,,,,,466.0,3.2,,14.0,87.0,0.4,,,,,,,,,,,,,,,,,,,
Tyler Allgeier,RB,ARZ,15.0,,,,,501.0,3.8,,8.0,71.0,0.2,,,,,,,,,,,,,,,,,,,
Zach Charbonnet,RB,SEA,9.0,,,,,356.0,4.3,,14.0,102.0,0.6,,,,,,,,,,,,,,,,,,,
Mike Washington Jr.,RB,LV,15.0,,,,,460.0,2.7,,13.0,94.0,0.5,,,,,,,,,,,,,,,,,,,
Jaydon Blue,RB,DAL,15.0,,,,,381.0,2.3,,18.0,115.0,0.8,,,,,,,,,,,,,,,,,,,
Jonah Coleman,RB,DEN,15.0,,,,,302.0,2.2,,22.0,126.0,0.7,,,,,,,,,,,,,,,,,,,
Alvin Kamara,RB,NO,11.0,,,,,297.0,1.6,,21.0,147.0,0.5,,,,,,,,,,,,,,,,,,,
Chris Rodriguez Jr.,RB,JAX,14.0,,,,,384.0,3.5,,5.0,80.0,0.4,,,,,,,,,,,,,,,,,,,
MarShawn Lloyd,RB,GB,10.0,,,,,331.0,2.1,,16.0,105.0,0.5,,,,,,,,,,,,,,,,,,,
Tyrone Tracy Jr.,RB,NYG,13.0,,,,,274.0,1.2,,19.0,157.0,0.8,,,,,,,,,,,,,,,,,,,
Jordan Mason,RB,MIN,14.0,,,,,415.0,3.5,,6.0,28.0,0.1,,,,,,,,,,,,,,,,,,,
Emmett Johnson,RB,KC,15.0,,,,,322.0,2.2,,11.0,105.0,0.6,,,,,,,,,,,,,,,,,,,
LeQuint Allen Jr.,RB,JAX,15.0,,,,,155.0,0.9,,25.0,180.0,0.8,,,,,,,,,,,,,,,,,,,
Isaiah Davis,RB,NYJ,14.0,,,,,262.0,1.3,,16.0,151.0,0.6,,,,,,,,,,,,,,,,,,,
Demond Claiborne,RB,MIN,15.0,,,,,310.0,1.9,,11.0,103.0,0.4,,,,,,,,,,,,,,,,,,,
Najee Harris,RB,NYG,12.0,,,,,299.0,1.5,,14.0,88.0,0.4,,,,,,,,,,,,,,,,,,,
George Holani,RB,SEA,13.0,,,,,210.0,1.2,,18.0,133.0,0.6,,,,,,,,,,,,,,,,,,,
Jaylen Wright,RB,MIA,14.0,,,,,268.0,1.6,,14.0,97.0,0.5,,,,,,,,,,,,,,,,,,,
Kaytron Allen,RB,WAS,15.0,,,,,305.0,1.8,,10.0,60.0,0.4,,,,,,,,,,,,,,,,,,,
Chris Brooks,RB,GB,15.0,,,,,261.0,1.4,,12.0,89.0,0.4,,,,,,,,,,,,,,,,,,,
Brashard Smith,RB,KC,15.0,,,,,126.0,0.7,,19.0,154.0,0.8,,,,,,,,,,,,,,,,,,,
Ollie Gordon II,RB,MIA,15.0,,,,,191.0,1.7,,13.0,90.0,0.5,,,,,,,,,,,,,,,,,,,
Tank Bigsby,RB,PHI,15.0,,,,,277.0,2.1,,6.0,40.0,0.2,,,,,,,,,,,,,,,,,,,
Ray Davis,RB,BUF,15.0,,,,,240.0,1.5,,7.0,75.0,0.4,,,,,,,,,,,,,,,,,,,
Seth McGowan,RB,IND,15.0,,,,,241.0,1.6,,7.0,56.0,0.2,,,,,,,,,,,,,,,,,,,
Braelon Allen,RB,NYJ,14.0,,,,,258.0,1.7,,6.0,39.0,0.2,,,,,,,,,,,,,,,,,,,
James Conner,RB,ARZ,12.0,,,,,163.0,1.2,,11.0,93.0,0.3,,,,,,,,,,,,,,,,,,,
Jordan James,RB,SF,13.0,,,,,219.0,1.3,,7.0,66.0,0.3,,,,,,,,,,,,,,,,,,,
Kaelon Black,RB,SF,15.0,,,,,211.0,1.1,,7.0,72.0,0.3,,,,,,,,,,,,,,,,,,,
DJ Giddens,RB,IND,13.0,,,,,172.0,1.0,,8.0,76.0,0.3,,,,,,,,,,,,,,,,,,,
Kyle Juszczyk,RB,SF,15.0,,,,,12.0,0.1,,17.0,168.0,0.9,,,,,,,,,,,,,,,,,,,
Nicholas Singleton,RB,TEN,15.0,,,,,155.0,0.8,,9.0,85.0,0.4,,,,,,,,,,,,,,,,,,,
Tahj Brooks,RB,CIN,15.0,,,,,190.0,1.3,,6.0,60.0,0.3,,,,,,,,,,,,,,,,,,,
Emanuel Wilson,RB,SEA,13.0,,,,,178.0,1.1,,8.0,56.0,0.3,,,,,,,,,,,,,,,,,,,
Trevor Etienne,RB,CAR,15.0,,,,,130.0,0.7,,12.0,75.0,0.5,,,,,,,,,,,,,,,,,,,
Kimani Vidal,RB,LAC,14.0,,,,,111.0,0.8,,11.0,72.0,0.4,,,,,,,,,,,,,,,,,,,
Will Shipley,RB,PHI,15.0,,,,,103.0,0.5,,11.0,87.0,0.4,,,,,,,,,,,,,,,,,,,
Devin Singletary,RB,NYG,10.0,,,,,149.0,0.9,,7.0,48.0,0.2,,,,,,,,,,,,,,,,,,,
Sean Tucker,RB,TB,14.0,,,,,147.0,1.2,,4.0,26.0,0.2,,,,,,,,,,,,,,,,,,,
Zavier Scott,RB,MIN,13.0,,,,,109.0,0.5,,7.0,63.0,0.3,,,,,,,,,,,,,,,,,,,
Kendre Miller,RB,NO,10.0,,,,,150.0,0.7,,4.0,43.0,0.2,,,,,,,,,,,,,,,,,,,
Bam Knight,RB,ARZ,10.0,,,,,105.0,0.5,,7.0,60.0,0.3,,,,,,,,,,,,,,,,,,,
Jawhar Jordan,RB,HST,15.0,,,,,154.0,0.7,,4.0,31.0,0.2,,,,,,,,,,,,,,,,,,,
Devin Neal,RB,NO,12.0,,,,,117.0,0.7,,6.0,48.0,0.1,,,,,,,,,,,,,,,,,,,
Adam Randall,RB,BLT,14.0,,,,,49.0,0.4,,7.0,88.0,0.5,,,,,,,,,,,,,,,,,,,
Eli Heidenreich,RB,PIT,15.0,,,,,75.0,0.4,,8.0,57.0,0.2,,,,,,,,,,,,,,,,,,,
Hunter Luepke,RB,DAL,15.0,,,,,53.0,0.3,,7.0,60.0,0.3,,,,,,,,,,,,,,,,,,,
Dare Ogunbowale,RB,LV,7.0,,,,,47.0,0.2,,9.0,54.0,0.3,,,,,,,,,,,,,,,,,,,
Jarquez Hunter,RB,LA,10.0,,,,,94.0,0.7,,3.0,27.0,0.1,,,,,,,,,,,,,,,,,,,
Raheim Sanders,RB,CLV,10.0,,,,,93.0,0.6,,3.0,27.0,0.1,,,,,,,,,,,,,,,,,,,
Alec Ingold,RB,LAC,15.0,,,,,8.0,0.1,,8.0,71.0,0.3,,,,,,,,,,,,,,,,,,,
Salvon Ahmed,RB,CHI,10.0,,,,,89.0,0.5,,2.0,15.0,0.1,,,,,,,,,,,,,,,,,,,
Jacob Saylors,RB,DET,10.0,,,,,64.0,0.5,,3.0,27.0,0.1,,,,,,,,,,,,,,,,,,,
Max Bredeson,RB,MIN,15.0,,,,,24.0,0.1,,6.0,52.0,0.2,,,,,,,,,,,,,,,,,,,
Adam Prentice,RB,DEN,15.0,,,,,22.0,0.1,,6.0,47.0,0.2,,,,,,,,,,,,,,,,,,,
Dylan Laube,RB,LV,8.0,,,,,60.0,0.3,,3.0,28.0,0.1,,,,,,,,,,,,,,,,,,,
Emari Demercado,RB,KC,10.0,,,,,49.0,0.3,,4.0,32.0,0.2,,,,,,,,,,,,,,,,,,,
Phil Mafah,RB,DAL,13.0,,,,,67.0,0.4,,2.0,14.0,0.1,,,,,,,,,,,,,,,,,,,
Malik Davis,RB,DAL,10.0,,,,,63.0,0.4,,2.0,15.0,0.1,,,,,,,,,,,,,,,,,,,
Nate Carter,RB,ATL,5.0,,,,,64.0,0.4,,2.0,14.0,0.1,,,,,,,,,,,,,,,,,,,
Travis Homer,RB,PIT,14.0,,,,,45.0,0.1,,3.0,25.0,0.1,,,,,,,,,,,,,,,,,,,
Michael Burton,RB,CLV,15.0,,,,,15.0,0.1,,4.0,37.0,0.2,,,,,,,,,,,,,,,,,,,
Rasheen Ali,RB,BLT,5.0,,,,,24.0,0.1,,3.0,31.0,0.2,,,,,,,,,,,,,,,,,,,
Jeremy McNichols,RB,WAS,5.0,,,,,14.0,0.1,,4.0,27.0,0.1,,,,,,,,,,,,,,,,,,,
Andrew Beck,RB,NYJ,15.0,,,,,6.0,0.0,,4.0,36.0,0.1,,,,,,,,,,,,,,,,,,,
Trey Benson,RB,ARZ,5.0,,,,,29.0,0.2,,3.0,20.0,0.1,,,,,,,,,,,,,,,,,,,
British Brooks,RB,HST,15.0,,,,,63.0,0.3,,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
Roschon Johnson,RB,CHI,5.0,,,,,48.0,0.3,,1.0,9.0,0.0,,,,,,,,,,,,,,,,,,,
DeeJay Dallas,RB,JAX,10.0,,,,,29.0,0.1,,2.0,17.0,0.1,,,,,,,,,,,,,,,,,,,
Sione Vaki,RB,DET,10.0,,,,,22.0,0.2,,2.0,18.0,0.1,,,,,,,,,,,,,,,,,,,
Jam Miller,RB,NE,10.0,,,,,31.0,0.2,,1.0,14.0,0.1,,,,,,,,,,,,,,,,,,,
Connor Heyward,RB,LV,15.0,,,,,18.0,0.4,,1.0,10.0,0.1,,,,,,,,,,,,,,,,,,,
Kaleb Johnson,RB,PIT,6.0,,,,,32.0,0.1,,1.0,10.0,0.0,,,,,,,,,,,,,,,,,,,
Tyler Badie,RB,DEN,4.0,,,,,10.0,0.0,,2.0,18.0,0.1,,,,,,,,,,,,,,,,,,,
Pierre Strong,RB,GB,5.0,,,,,23.0,0.1,,1.0,8.0,0.0,,,,,,,,,,,,,,,,,,,
AJ Dillon,RB,CAR,7.0,,,,,16.0,0.1,,2.0,11.0,0.0,,,,,,,,,,,,,,,,,,,
Kene Nwangwu,RB,NYJ,5.0,,,,,25.0,0.1,,1.0,8.0,0.1,,,,,,,,,,,,,,,,,,,
Patrick Ricard,RB,NYG,15.0,,,,,2.0,0.0,,2.0,19.0,0.2,,,,,,,,,,,,,,,,,,,
Brady Russell,RB,SEA,15.0,,,,,2.0,0.0,,2.0,15.0,0.1,,,,,,,,,,,,,,,,,,,
Reggie Gilliam,RB,NE,15.0,,,,,3.0,0.0,,2.0,18.0,0.1,,,,,,,,,,,,,,,,,,,
Ty Chandler,RB,NO,10.0,,,,,30.0,0.1,,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
Josh Williams,RB,TB,5.0,,,,,26.0,0.1,,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
Ronnie Rivers,RB,LA,5.0,,,,,21.0,0.1,,1.0,5.0,0.0,,,,,,,,,,,,,,,,,,,
